,smiles,solv_oxidation_potential
05YTLJ,COC(=O)C1=C(N)OC2=C(C(C)CCC2(C)C(C)C)C1c1ccc(Br)cc1,1.018
05FZBP,C=CCOC(=O)N1C=CC(C2C(=O)N(C)c3ccccc32)C(C#N)=C1,1.567
05SMHU,COc1ccc2nc3cc(N)c(=O)cc-3oc2c1,0.928
05LQNP,NC(=O)C1=CN(Cc2ccccc2)C=CC1,0.559
05QOCB,CC1=Nc2ccccc2C2(O1)OC1(CCCCC1)C1(CCCCC1)OC2=O,1.684
05LZLQ,O=[N+]([O-])c1cccc2c1C=CC2=CN1CCCC1,0.89
05TWXZ,CCCCC1C(C)=NC(C#N)=C(C#N)N=C1C=Cc1ccc(N(CC)CC)cc1,0.856
05EAKY,CCC1C(C)=NC(C#N)=C(C#N)N=C1C=Cc1ccc(N(CC)CC)cc1,0.852
05TQZU,CCN(CC)c1ccc(C=CC2=NC(C#N)=C(C#N)N=C(C)C2)cc1,0.847
05ATDQ,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1,1.134
05WAVI,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccc([N+](=O)[O-])cc1,1.142
05IBFP,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccc([N+](=O)[O-])cc1[N+](=O)[O-],1.139
05FSNA,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(C)c1,0.975
05GGVQ,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccn1,1.082
05USNF,CC(C)C1C=CC(C)(COC(=O)c2ccc([N+](=O)[O-])cc2[N+](=O)[O-])C=C1,2.154
05YBHN,CC(C)C1=C(c2ccccc2)N=C(N(C)C)C(C)(C)C1=O,1.008
05BASY,ClC(Cl)CC1=C2C=CCCC23C(CC(Cl)(Cl)CC3(Cl)Cl)c2ccccc21,1.199
05JKGT,CNC(=O)C1=CCC2=CC=CC=CC1(c1ccccc1)C2,1.408
05PZCJ,CC(C)c1ccc2c(c1)C(=O)C1=C3C(C)(CCCC32C)C(=O)O1,2.001
05WBLT,CC12CCCC3(C)C1=C(OC2=O)C(=O)c1cc(C(C)(C)O)ccc13,2.204
05SEVK,COc1cc(C2=CC(=O)C(F)=CC2=O)c(OC)cc1F,1.207
05HYXI,CC1(C)CC(=O)C2=C(C1)OC1=C(C(=O)CC(C)(C)C1)C2c1ccccc1[N+](=O)[O-],1.748
05RYKE,COc1ccc2c(c1)CCC1=C2CCC2(C)C(OC(C)=O)CSCC12,1.153
05IVTB,CC(=O)C1=C(C)N=C(N(C)S(=O)(=O)c2ccc(C)cc2)C=C(C)C1,1.363
05GTWS,CC1=CC(N(C)S(=O)(=O)c2ccc(C)cc2)=NC=C(C=O)C1,1.384
05TPZB,c1cc2cc3cc(cc-2c1)CCc1ccc(cc1)CC3,0.778
05AVPN,O=C(O)C1C=CCc2ccccc21,2.182
05GWIE,COC(=O)C1=CN(C)CCC23C4=CCc5ccc(OC)c(c52)OC3C(=O)CC14,1.093
05YWNB,CC(=O)C1=C(C)Nc2ccccc2S1,0.531
05NVWN,CC1(C)N=C2C(=C(Cl)C(=O)c3ccccc32)N1,1.467
05NRXY,c1ccc2cc3ccsc3c-2cc1,0.81
05DVKX,O=C1C(Cl)=C(Cl)C(=O)c2c1nc1n2CCCCC1,2.354
05FJMG,O=C1C(Cl)=C(Cl)C(=O)c2c1nc1n2CCOC1,2.5
05PXSB,O=C1C(Cl)=C(Cl)C(=O)c2c1nc1n2CCC1,2.4
05WIEY,O=C1C(Br)=C(Br)C(=O)c2c1nc1n2CCCCC1,2.373
05HVPE,O=C1C(Br)=C(Br)C(=O)c2c1nc1n2CCC1,2.411
05QOKZ,CC1=Nc2ccccc2C(C)(CI)O1,1.694
05SMWT,CCOC(=O)C1=C(C)NC(C2NC(C(=O)OCC)CS2)=C(C(=O)OCC)C1c1cccs1,1.05
05VCLE,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],1.106
05MKEC,CC12C3=CC=C1c1ccccc1C2=CC=C3,0.891
05RXJP,CCOc1cc2c3ccccc3cc-2ccn1,0.756
